Date,Electricity_Requirement,Humidity,Rainfall,Electricity_Supply,Solar_Irradiance,Temperature
01-04-2018,10127,65.7,46.25714286,10118,182.44,29.71
01-05-2018,9529,75.18,120.304,9514,163.84,28.37
01-06-2018,9471,74.89,88.522,9464,155.94,27.54
01-07-2018,9620,74.55,105.4962857,9613,140.81,27.21
01-08-2018,9327,73.73,109.7334286,9321,169.44,26.96
01-09-2018,9430.4,73.72,87.38428571,9421,173.75,27.38
01-10-2018,8835.9,80.43,183.318,8828,137.09,26.18
01-11-2018,7971,82.27,156.3968571,7963,124.5,25.27
01-12-2018,8807,78.44,23.52457143,8803,140.66,24.97
01-01-2019,8681,67.84,0.786285714,8684,136.78,24.33
01-02-2019,8746,63.38,7.617428571,8747,161.78,27.61
01-03-2019,10548,56.41,7.088,10546,173.19,29.55
01-04-2019,10308,59.72,42.278,10308,175.25,30.71
01-05-2019,10612,64.94,31.67742857,10611,182.12,30.64
01-06-2019,10051,70.8,65.85657143,10046,169,29.01
01-07-2019,9841,71.05,70.854,9838,111.38,28.03
01-08-2019,9171,75.1,156.4351429,9169,141.22,27
01-09-2019,8633,80.2,186.3065714,8636,151.53,26.64
01-10-2019,8424,85.18,310.1534286,8427,132.09,25.79
01-11-2019,8246,86.26,179.006,8249,142.81,25.64
01-12-2019,8246,85.98,84.07914286,7831,130.81,24.48
01-01-2020,8544,76.99,9.249714286,8547,158.5,24.82
01-02-2020,9052,66.39,6.256857143,9054,169,26.52
01-03-2020,9583,59.6,7.726285714,9586,198.09,29.11
01-04-2020,7287,62.57,41.06,7289,171.81,30.12
01-05-2020,8985,67.42,81.36771429,8988,168.47,30.11
01-06-2020,9000,71.93,85.69114286,9003,155.97,28.14
01-07-2020,8355,77.95,137.9188571,8354,140.03,26.84
01-08-2020,8698,77.96,101.4365714,8696,161.88,27.02
01-09-2020,8435,80.37,158.4917143,8435,145.47,26.34
01-10-2020,9183,80.28,161.5194286,9185,158,26.3
01-11-2020,7982,84.24,215.8771429,7984,112.75,25.51
01-12-2020,8033,86.08,176.0097143,8035,128.5,23.89
01-01-2021,7886,85.87,237.878,7887,139.22,23.96
01-02-2021,8368,75.58,9.298857143,8367,160.22,24.2
01-03-2021,9476,67.55,21.65971429,9477,201.5,27.25
01-04-2021,9781,68.47,57.91971429,9779,164.19,29.1
01-05-2021,9295,75.62,176.0331429,9293,137.75,28.23
01-06-2021,9368,76.22,80.03942857,9366,146.72,27.6
01-07-2021,9599,77.61,113.5525714,9602,120.5,27.02
01-08-2021,10010,75.91,104.8611429,10008,111.44,26.95
01-09-2021,9431,79.57,152.8114286,9434,140.84,26.73
01-10-2021,9067,85.37,266.0871429,9062,116.31,26.07
01-11-2021,7362,89.42,399.6571429,7360,79.84,24.87
01-12-2021,8590,85.16,63.78942857,8590,150.62,23.94
01-01-2022,8873,81.8,40.06942857,8873,157.91,24.49
01-02-2022,9028,71.36,16.92114286,9028,157.19,25.5
01-03-2022,10657,64.22,34.52742857,10648,186.81,28.08
01-04-2022,10632,71.61,121.3437143,10605,167.75,28.67
01-05-2022,10459,74.49,106.512,10458,141.69,28.42
01-06-2022,10459,76.36,92.81942857,10458,151.25,27.27
01-07-2022,10142,76.07,150.6037143,10142,116.22,26.85
01-08-2022,9756,80.32,159.7111429,9694,134.19,26.3
01-09-2022,9596,79.85,77.78542857,9581,150.75,26.52
01-10-2022,8922,81.27,179.7265714,9010,113,26.02
01-11-2022,8521,84.49,171.6988571,8495,109.66,24.6
01-12-2022,8754,84.16,139.0888571,8836,123.69,24.34
01-01-2023,9230,74.83,12.74685714,9203,152.22,23.66
01-02-2023,8956,65.91,26.288,8926,156.09,25.33
01-03-2023,10854,64.17,34.85714286,10866,188.16,28.08
01-04-2023,11377,63.19,65.30257143,11272,166.75,29.7
01-05-2023,10982,75.6,114.7654286,10897,148.91,28.58
01-06-2023,10967,72.32,57.45228571,11065,149.31,28.53
01-07-2023,10800,72.18,80.06542857,10907,113.38,27.76
01-08-2023,11406,71.22,73.40114286,11349,168,28.47
01-09-2023,10172,77,139.0171429,10187,134.56,27.07
01-10-2023,10734,79.01,167.2028571,10617,152.19,26.98
01-11-2023,8759,86.44,257.9442857,8762,107.88,25.64
01-12-2023,9356,86.11,175.8328571,9278,126.44,25.03
01-01-2024,9658,80.3,37.97028571,9630,140.88,24.62
01-02-2024,10404,69.78,4.588857143,10419,180.5,26.74
01-03-2024,10452,56.85,6.535142857,10419,192.62,29.16
01-04-2024,12649,59.92,20.66085714,12649,179.38,31.32
01-05-2024,11838,73.25,193.01,11838,126.38,29.5
01-06-2024,10784,78.45,110.5505714,10784,134.44,27.46
01-07-2024,11192,75.28,84.59114286,11135,109.97,27.33
01-08-2024,11135,80.16,147.454,11135,147.25,27.16
01-09-2024,11247,75.14,44.36742857,11243,156.84,27.79
01-10-2024,10267,83.23,233.7557143,10241,120.78,26.53
01-11-2024,9474,85.6,164.06,9398,101.47,25.44
01-12-2024,9419,85.62,160.7311429,9419,98.66,25.08
01-01-2025,9795,80.46,31.28542857,9717,268.9096436,23.86
01-02-2025,10242,68.88,10.47657143,10171,252.3236884,25.73
01-03-2025,11864,66.46,59.66028571,11864,289.3109125,28.23
01-04-2025,11892,71.18,97.794,11892,303.3053848,28.97
01-05-2025,11332,73.94,146.7117143,11332,224.8896967,28.83
01-06-2025,11514,75.1,85.31,11514,229.8823952,28.12
01-07-2025,12382,71.59,60.52485714,12382,248.8382191,28.02
01-08-2025,11271,76.06,82.05857143,11271,230.1092991,27.28
01-09-2025,10972,76.91,105.1525714,10972,222.6256423,27.49
01-10-2025,10087,82.84,227.2797143,10087,206.7866044,26.68
01-11-2025,10076,83.51,206.9577143,10076,197.7686779,25.32
01-12-2025,10150,81.73,40.27971429,10150,207.7850295,23.56
