,Date,Coal,Oil_Gas,Nuclear,Hydro,Solar,Wind,Small_Hydro,Bio_Power,Total,Coal_Lag_1,Oil_Gas_Lag_1,Nuclear_Lag_1,Hydro_Lag_1,Solar_Lag_1,Wind_Lag_1,Small_Hydro_Lag_1,Bio_Power_Lag_1,Total_Lag_1,Total_Lag_3,Total_Lag_6,Total_Lag_12,Total_Rolling_3,Total_Rolling_6,Total_Rolling_12,Year,Month,Quarter
15,2017-07-01,4845.21,248.86,1043.49,102.38,200.0,2384.77,13.99,65.35,8904.05,4651.94,247.67,873.41,70.29,228.34,1462.2,2.55,62.25,7598.65,8416.03,7460.87,8679.48,7984.053333333333,7901.048333333333,8236.234999999999,2017,7,3
16,2017-08-01,4735.0,250.83,427.09,197.7,205.78,2340.54,13.86,55.05,8225.85,4845.21,248.86,1043.49,102.38,200.0,2384.77,13.99,65.35,8904.05,7937.48,7039.62,8744.82,8146.7266666666665,8141.578333333332,8254.949166666667,2017,8,3
17,2017-09-01,5008.48,241.61,912.89,310.02,231.6,1620.17,12.88,45.43,8383.08,4735.0,250.83,427.09,197.7,205.78,2340.54,13.86,55.05,8225.85,7598.65,8953.64,8842.99,8242.85,8339.283333333333,8211.701666666666,2017,9,3
18,2017-10-01,5047.89,246.88,822.49,472.5,237.13,1510.27,25.88,63.3,8426.34,5008.48,241.61,912.89,310.02,231.6,1620.17,12.88,45.43,8383.08,8904.05,8416.03,9906.42,8504.326666666668,8244.19,8173.375833333333,2017,10,4
19,2017-11-01,5126.54,238.38,1125.69,379.08,208.42,715.14,30.68,76.82,7900.75,5047.89,246.88,822.49,472.5,237.13,1510.27,25.88,63.3,8426.34,8225.85,7937.48,8348.15,8345.089999999998,8245.908333333335,8050.035833333332,2017,11,4
20,2017-12-01,5081.99,212.96,1474.6,411.51,202.01,267.25,35.79,65.02,7751.13,5126.54,238.38,1125.69,379.08,208.42,715.14,30.68,76.82,7900.75,8383.08,7598.65,6906.67,8236.723333333333,8239.786666666667,8012.7525,2017,12,4
21,2018-01-01,5220.05,236.26,1610.9,319.5,274.13,428.49,22.09,43.49,8154.91,5081.99,212.96,1474.6,411.51,202.01,267.25,35.79,65.02,7751.13,8426.34,8904.05,7460.87,8026.073333333334,8265.199999999999,8083.124166666666,2018,1,1
22,2018-02-01,5109.31,212.54,1267.03,192.3,328.0,433.15,22.09,62.87,7627.29,5220.05,236.26,1610.9,319.5,274.13,428.49,22.09,43.49,8154.91,7900.75,8225.85,7039.62,7935.596666666667,8140.343333333334,8140.9608333333335,2018,2,1
23,2018-03-01,7001.99,239.16,799.3,224.07,319.0,433.05,4.63,48.03,9069.23,5109.31,212.54,1267.03,192.3,328.0,433.15,22.09,62.87,7627.29,7751.13,8383.08,8953.64,7844.443333333334,8040.583333333333,8189.933333333333,2018,3,1
24,2018-04-01,6772.97,253.25,820.98,257.32,254.04,391.28,5.56,71.1,8826.5,7001.99,239.16,799.3,224.07,319.0,433.05,4.63,48.03,9069.23,8154.91,8426.34,8416.03,8283.81,8154.941666666667,8199.565833333334,2018,4,2
25,2018-05-01,6432.7,218.14,852.22,229.03,268.37,332.54,1.99,21.8,8356.79,6772.97,253.25,820.98,257.32,254.04,391.28,5.56,71.1,8826.5,7627.29,7900.75,7937.48,8507.673333333332,8221.635,8233.771666666667,2018,5,2
26,2018-06-01,4859.2,219.21,872.51,316.24,312.0,1250.72,10.13,12.01,7852.02,6432.7,218.14,852.22,229.03,268.37,332.54,1.99,21.8,8356.79,9069.23,7751.13,7598.65,8750.839999999998,8297.641666666666,8268.714166666667,2018,6,2
27,2018-07-01,4606.13,248.67,1031.17,541.02,272.75,2603.54,42.61,10.96,9356.85,4859.2,219.21,872.51,316.24,312.0,1250.72,10.13,12.01,7852.02,8826.5,8154.91,8904.05,8345.103333333334,8314.456666666667,8289.828333333333,2018,7,3
28,2018-08-01,4469.39,256.52,194.45,846.55,281.18,3260.38,51.26,15.23,9374.96,4606.13,248.67,1031.17,541.02,272.75,2603.54,42.61,10.96,9356.85,8356.79,7627.29,8225.85,8521.886666666667,8514.78,8327.561666666666,2018,8,3
29,2018-09-01,5623.16,212.75,326.58,715.2,316.03,2370.59,97.3,15.85,9677.46,4469.39,256.52,194.45,846.55,281.18,3260.38,51.26,15.23,9374.96,7852.02,9069.23,8383.08,8861.276666666667,8806.058333333332,8423.320833333333,2018,9,3
30,2018-10-01,6109.9,242.95,561.13,661.56,259.06,890.35,36.03,29.58,8790.56,5623.16,212.75,326.58,715.2,316.03,2370.59,97.3,15.85,9677.46,9356.85,8826.5,8426.34,9469.756666666666,8907.43,8531.185833333333,2018,10,4
31,2018-11-01,5397.4,242.42,661.83,392.36,258.88,286.92,19.91,24.01,7283.73,6109.9,242.95,561.13,661.56,259.06,890.35,36.03,29.58,8790.56,9374.96,8356.79,7900.75,9280.993333333334,8901.44,8561.5375,2018,11,4
32,2018-12-01,5997.28,236.61,563.91,469.13,301.66,272.05,19.98,37.67,7898.29,5397.4,242.42,661.83,392.36,258.88,286.92,19.91,24.01,7283.73,9677.46,7852.02,7751.13,8583.916666666666,8722.596666666666,8510.119166666667,2018,12,4
33,2019-01-01,5666.65,290.2,563.75,359.43,326.8,373.64,20.58,42.36,7643.41,5997.28,236.61,563.91,469.13,301.66,272.05,19.98,37.67,7898.29,8790.56,9356.85,8154.91,7990.86,8730.308333333332,8522.3825,2019,1,1
34,2019-02-01,5656.08,234.76,595.7,246.64,322.43,336.2,35.64,59.6,7487.05,5666.65,290.2,563.75,359.43,326.8,373.64,20.58,42.36,7643.41,7283.73,9374.96,7627.29,7608.4766666666665,8444.734999999999,8479.7575,2019,2,1
35,2019-03-01,6368.47,248.57,589.31,246.73,381.32,232.63,6.98,55.0,8129.01,5656.08,234.76,595.7,246.64,322.43,336.2,35.64,59.6,7487.05,7898.29,9677.46,9069.23,7676.25,8130.083333333333,8468.070833333333,2019,3,1
36,2019-04-01,6044.95,246.13,546.48,180.26,400.11,390.61,4.67,48.81,7862.02,6368.47,248.57,589.31,246.73,381.32,232.63,6.98,55.0,8129.01,7643.41,8790.56,8826.5,7753.156666666667,7872.008333333332,8389.719166666666,2019,4,2
37,2019-05-01,5775.12,234.33,884.19,173.68,367.71,1638.33,1.49,61.04,9135.89,6044.95,246.13,546.48,180.26,400.11,390.61,4.67,48.81,7862.02,7487.05,7283.73,8356.79,7826.026666666668,7717.251666666667,8309.345833333335,2019,5,2
38,2019-06-01,5441.35,198.07,1207.65,124.72,386.05,2555.63,1.16,41.4,9956.03,5775.12,234.33,884.19,173.68,367.71,1638.33,1.49,61.04,9135.89,8129.01,7898.29,7852.02,8375.64,8025.945,8374.270833333334,2019,6,2
39,2019-07-01,4959.23,166.07,1357.86,166.01,374.75,2615.04,7.44,42.0,9688.4,5441.35,198.07,1207.65,124.72,386.05,2555.63,1.16,41.4,9956.03,7862.02,7643.41,9356.85,8984.646666666666,8368.901666666667,8549.605,2019,7,3
40,2019-08-01,4260.53,240.61,1363.12,536.47,409.2,2568.06,27.47,49.69,9455.15,4959.23,166.07,1357.86,166.01,374.75,2615.04,7.44,42.0,9688.4,9135.89,7487.05,9374.96,9593.44,8709.733333333334,8577.234166666667,2019,8,3
41,2019-09-01,4425.97,245.16,1325.49,718.96,396.85,1570.67,41.0,34.9,8759.0,4260.53,240.61,1363.12,536.47,409.2,2568.06,27.47,49.69,9455.15,9956.03,8129.01,9677.46,9699.859999999999,9037.75,8583.916666666666,2019,9,3
42,2019-10-01,5028.67,239.49,1245.72,662.35,398.71,276.5,28.41,34.0,7913.85,4425.97,245.16,1325.49,718.96,396.85,1570.67,41.0,34.9,8759.0,9688.4,7862.02,8790.56,9300.85,9142.748333333335,8507.378333333334,2019,10,4
43,2019-11-01,5021.49,250.26,1312.39,562.85,322.09,348.11,32.25,30.68,7880.12,5028.67,239.49,1245.72,662.35,398.71,276.5,28.41,34.0,7913.85,9455.15,9135.89,7283.73,8709.333333333334,9151.386666666667,8434.319166666666,2019,11,4
44,2019-12-01,4660.18,267.15,1010.64,540.44,374.78,597.59,33.83,21.13,7505.74,5021.49,250.26,1312.39,562.85,322.09,348.11,32.25,30.68,7880.12,8759.0,9956.03,7898.29,8184.323333333334,8942.091666666665,8484.018333333333,2019,12,4
45,2020-01-01,5502.36,258.63,795.2,513.08,439.66,572.88,29.06,29.85,8140.72,4660.18,267.15,1010.64,540.44,374.78,597.59,33.83,21.13,7505.74,7913.85,9688.4,7643.41,7766.57,8533.710000000001,8451.305833333334,2020,1,1
46,2020-02-01,5884.78,271.26,690.42,291.15,482.24,682.14,29.06,42.49,8373.54,5502.36,258.63,795.2,513.08,439.66,572.88,29.06,29.85,8140.72,7880.12,9455.15,7487.05,7842.193333333334,8275.763333333334,8492.748333333333,2020,2,1
47,2020-03-01,5871.84,252.83,1247.17,295.28,594.48,311.36,11.2,18.6,8602.76,5884.78,271.26,690.42,291.15,482.24,682.14,29.06,42.49,8373.54,7505.74,8759.0,8129.01,8006.666666666667,8095.495,8566.6225,2020,3,1
48,2020-04-01,3784.94,275.1,1218.54,248.46,516.29,305.56,7.72,9.81,6366.42,5871.84,252.83,1247.17,295.28,594.48,311.36,11.2,18.6,8602.76,8140.72,7913.85,7862.02,8372.34,8069.455000000001,8606.101666666667,2020,4,2
49,2020-05-01,4953.45,299.35,1023.39,276.84,520.17,1128.6,5.24,48.3,8255.34,3784.94,275.1,1218.54,248.46,516.29,305.56,7.72,9.81,6366.42,8373.54,7880.12,9135.89,7780.906666666667,7811.55,8481.468333333332,2020,5,2
50,2020-06-01,4447.8,223.68,886.71,305.53,512.3,2500.27,2.1,75.42,8953.81,4953.45,299.35,1023.39,276.84,520.17,1128.6,5.24,48.3,8255.34,8602.76,7505.74,9956.03,7741.506666666667,7874.086666666667,8408.089166666667,2020,6,2
51,2020-07-01,3927.59,193.87,649.41,444.8,506.61,2047.8,8.63,54.82,7833.53,4447.8,223.68,886.71,305.53,512.3,2500.27,2.1,75.42,8953.81,6366.42,8140.72,9688.4,7858.5233333333335,8115.431666666666,8324.570833333333,2020,7,3
52,2020-08-01,3451.64,178.68,975.51,694.3,536.89,2500.79,39.24,87.63,8464.68,3927.59,193.87,649.41,444.8,506.61,2047.8,8.63,54.82,7833.53,8255.34,8373.54,9455.15,8347.56,8064.233333333333,8169.998333333334,2020,8,3
53,2020-09-01,2881.51,201.21,1562.88,604.21,455.7,2127.03,27.53,62.81,7922.88,3451.64,178.68,975.51,694.3,536.89,2500.79,39.24,87.63,8464.68,8953.81,8602.76,8759.0,8417.339999999998,8079.423333333335,8087.4591666666665,2020,9,3
54,2020-10-01,3435.93,214.2,1624.59,604.54,539.9,1747.69,26.78,33.07,8226.7,2881.51,201.21,1562.88,604.21,455.7,2127.03,27.53,62.81,7922.88,7833.53,6366.42,7913.85,8073.696666666667,7966.110000000001,8017.7825,2020,10,4
55,2020-11-01,3843.43,195.99,1357.72,559.61,444.85,339.65,30.95,16.69,6788.89,3435.93,214.2,1624.59,604.54,539.9,1747.69,26.78,33.07,8226.7,8464.68,8255.34,7880.12,8204.753333333334,8276.156666666668,8043.8533333333335,2020,11,4
56,2020-12-01,3580.72,136.44,1490.84,506.27,403.76,478.42,35.08,53.44,6684.97,3843.43,195.99,1357.72,559.61,444.85,339.65,30.95,16.69,6788.89,7922.88,8953.81,7505.74,7646.156666666667,8031.748333333334,7952.9175,2020,12,4
57,2021-01-01,4312.37,132.56,1263.75,374.59,437.49,516.37,33.59,29.85,7100.57,3580.72,136.44,1490.84,506.27,403.76,478.42,35.08,53.44,6684.97,8226.7,7833.53,8140.72,7233.52,7653.6083333333345,7884.52,2021,1,1
58,2021-02-01,4621.8,105.53,797.82,312.75,586.65,489.92,16.19,103.5,7034.16,4312.37,132.56,1263.75,374.59,437.49,516.37,33.59,29.85,7100.57,6788.89,8464.68,8373.54,6858.143333333333,7531.448333333334,7797.840833333335,2021,2,1
59,2021-03-01,5693.92,108.12,813.56,280.81,654.88,382.83,11.72,111.0,8056.84,4621.8,105.53,797.82,312.75,586.65,489.92,16.19,103.5,7034.16,6684.97,7922.88,8602.76,6939.900000000001,7293.028333333333,7686.225833333333,2021,3,1
60,2021-04-01,5979.18,128.2,903.78,223.32,591.63,546.22,7.32,74.4,8454.05,5693.92,108.12,813.56,280.81,654.88,382.83,11.72,111.0,8056.84,7100.57,8226.7,6366.42,7397.19,7315.3550000000005,7640.732500000001,2021,4,2
61,2021-05-01,4803.2,118.63,1401.53,199.12,581.75,1507.05,10.77,48.24,8670.29,5979.18,128.2,903.78,223.32,591.63,546.22,7.32,74.4,8454.05,7034.16,6788.89,8255.34,7848.349999999999,7353.246666666667,7814.701666666668,2021,5,2
62,2021-06-01,5010.61,142.96,1186.91,430.84,609.73,2497.08,27.89,19.94,9925.96,4803.2,118.63,1401.53,199.12,581.75,1507.05,10.77,48.24,8670.29,8056.84,6684.97,8953.81,8393.726666666667,7666.813333333333,7849.280833333334,2021,6,2
63,2021-07-01,5120.29,129.16,894.23,524.03,607.24,2851.49,35.6,41.27,10203.31,5010.61,142.96,1186.91,430.84,609.73,2497.08,27.89,19.94,9925.96,8454.05,7100.57,7833.53,9016.766666666666,8206.978333333334,7930.293333333332,2021,7,3
64,2021-08-01,5434.54,149.85,758.63,579.35,613.1,2767.95,31.73,70.9,10406.05,5120.29,129.16,894.23,524.03,607.24,2851.49,35.6,41.27,10203.31,8670.29,7034.16,8464.68,9599.853333333333,8724.101666666667,8127.775000000001,2021,8,3
65,2021-09-01,4689.24,152.35,1315.67,501.16,645.21,2197.2,26.47,59.62,9586.92,5434.54,149.85,758.63,579.35,613.1,2767.95,31.73,70.9,10406.05,9925.96,8056.84,7922.88,10178.44,9286.083333333334,8289.555833333334,2021,9,3
66,2021-10-01,4746.48,161.43,1588.64,476.37,542.54,907.25,31.32,36.71,8490.74,4689.24,152.35,1315.67,501.16,645.21,2197.2,26.47,59.62,9586.92,10203.31,8454.05,8226.7,10065.426666666666,9541.096666666666,8428.225833333332,2021,10,4
67,2021-11-01,3575.35,153.9,1411.2,551.86,400.7,449.19,38.23,47.48,6627.91,4746.48,161.43,1588.64,476.37,542.54,907.25,31.32,36.71,8490.74,10406.05,8670.29,6788.89,9494.57,9547.211666666666,8450.229166666666,2021,11,4
68,2021-12-01,4995.72,147.99,1654.42,541.47,596.74,492.82,28.27,65.36,8522.79,3575.35,153.9,1411.2,551.86,400.7,449.19,38.23,47.48,6627.91,9586.92,9925.96,6684.97,8235.19,9206.815,8436.814166666667,2021,12,4
69,2022-01-01,5171.77,153.38,1575.16,454.89,596.74,518.09,28.27,65.36,8563.66,4995.72,147.99,1654.42,541.47,596.74,492.82,28.27,65.36,8522.79,8490.74,10203.31,7100.57,7880.4800000000005,8972.953333333333,8589.965833333334,2022,1,1
70,2022-02-01,4834.22,134.84,1440.23,366.21,623.6,457.38,16.85,118.72,7992.05,5171.77,153.38,1575.16,454.89,596.74,518.09,28.27,65.36,8563.66,6627.91,10406.05,7034.16,7904.786666666667,8699.678333333333,8711.89,2022,2,1
71,2022-03-01,5089.93,159.54,1494.86,363.43,763.9,629.46,10.45,126.04,8637.61,4834.22,134.84,1440.23,366.21,623.6,457.38,16.85,118.72,7992.05,8522.79,9586.92,8056.84,8359.5,8297.345,8791.714166666667,2022,3,1
72,2022-04-01,6118.57,214.73,865.16,241.15,701.01,360.39,8.02,86.34,8595.37,5089.93,159.54,1494.86,363.43,763.9,629.46,10.45,126.04,8637.61,8563.66,8490.74,8454.05,8397.773333333333,8139.126666666667,8840.111666666666,2022,4,2
73,2022-05-01,6050.58,134.9,852.66,242.19,730.91,2374.45,5.52,63.09,10454.3,6118.57,214.73,865.16,241.15,701.01,360.39,8.02,86.34,8595.37,7992.05,6627.91,8670.29,8408.343333333332,8156.565000000001,8851.888333333334,2022,5,2
74,2022-06-01,5915.56,162.22,1516.15,393.79,728.6,2743.61,12.52,35.5,11507.95,6050.58,134.9,852.66,242.19,730.91,2374.45,5.52,63.09,10454.3,8637.61,8522.79,9925.96,9229.093333333332,8794.296666666667,9000.555833333334,2022,6,2
75,2022-07-01,5184.47,172.68,1393.96,683.29,731.17,2818.68,36.6,85.61,11106.46,5915.56,162.22,1516.15,393.79,728.6,2743.61,12.52,35.5,11507.95,8595.37,8563.66,10203.31,10185.873333333335,9291.823333333334,9132.388333333332,2022,7,3
76,2022-08-01,5149.56,156.39,883.13,741.36,760.95,2552.87,36.6,90.07,10370.93,5184.47,172.68,1393.96,683.29,731.17,2818.68,36.6,85.61,11106.46,10454.3,7992.05,10406.05,11022.903333333334,9715.623333333335,9207.650833333333,2022,8,3
77,2022-09-01,5026.29,147.21,983.68,721.55,839.18,2346.68,33.27,72.3,10170.16,5149.56,156.39,883.13,741.36,760.95,2552.87,36.6,90.07,10370.93,11507.95,8637.61,9586.92,10995.113333333335,10112.103333333334,9204.724166666667,2022,9,3
78,2022-10-01,4907.78,169.21,1618.67,580.07,754.99,923.09,30.51,51.96,9036.28,5026.29,147.21,983.68,721.55,839.18,2346.68,33.27,72.3,10170.16,11106.46,8595.37,8490.74,10549.183333333332,10367.528333333334,9253.3275,2022,10,4
79,2022-11-01,4950.24,115.0,1557.5,582.92,663.18,237.39,33.96,52.94,8193.13,4907.78,169.21,1618.67,580.07,754.99,923.09,30.51,51.96,9036.28,10370.93,10454.3,6627.91,9859.123333333333,10441.013333333334,9298.789166666667,2022,11,4
80,2022-12-01,5079.98,105.41,1655.13,487.48,719.09,619.82,34.27,100.69,8801.87,4950.24,115.0,1557.5,582.92,663.18,237.39,33.96,52.94,8193.13,10170.16,11507.95,8522.79,9133.19,10064.151666666667,9429.224166666667,2022,12,4
81,2023-01-01,4970.76,149.15,1531.79,619.36,876.68,726.61,37.46,95.52,9007.33,5079.98,105.41,1655.13,487.48,719.09,619.82,34.27,100.69,8801.87,9036.28,11106.46,8563.66,8677.093333333332,9613.138333333334,9452.480833333333,2023,1,1
82,2023-02-01,5327.27,158.84,1465.73,312.97,911.0,558.75,16.98,120.46,8872.0,4970.76,149.15,1531.79,619.36,876.68,726.61,37.46,95.52,9007.33,8193.13,10370.93,7992.05,8667.443333333335,9263.283333333333,9489.453333333333,2023,2,1
83,2023-03-01,6540.22,176.21,1689.01,257.75,1002.66,651.51,11.0,142.04,10470.4,5327.27,158.84,1465.73,312.97,911.0,558.75,16.98,120.46,8872.0,8801.87,10170.16,8637.61,8893.733333333335,9013.461666666666,9562.7825,2023,3,1
84,2023-04-01,6999.95,168.77,1234.28,245.95,970.18,378.8,8.28,87.11,10093.32,6540.22,176.21,1689.01,257.75,1002.66,651.51,11.0,142.04,10470.4,9007.33,9036.28,8595.37,9449.91,9063.501666666667,9715.515,2023,4,2
85,2023-05-01,5985.73,167.31,1005.65,231.43,922.32,1131.09,3.75,76.54,9523.82,6999.95,168.77,1234.28,245.95,970.18,378.8,8.28,87.11,10093.32,8872.0,8193.13,10454.3,9811.906666666668,9239.675,9840.344166666668,2023,5,2
86,2023-06-01,6208.99,162.86,881.75,279.72,969.11,3049.38,5.6,40.89,11598.3,5985.73,167.31,1005.65,231.43,922.32,1131.09,3.75,76.54,9523.82,10470.4,8801.87,11507.95,10029.18,9461.456666666667,9762.804166666667,2023,6,2
87,2023-07-01,5346.92,177.5,943.54,363.26,973.37,3666.7,11.24,47.16,11529.69,6208.99,162.86,881.75,279.72,969.11,3049.38,5.6,40.89,11598.3,10093.32,9007.33,11106.46,10405.146666666666,9927.528333333334,9770.333333333334,2023,7,3
88,2023-08-01,5417.96,171.27,1238.75,435.5,1129.24,2427.66,23.77,66.54,10910.69,5346.92,177.5,943.54,363.26,973.37,3666.7,11.24,47.16,11529.69,9523.82,8872.0,10370.93,10883.936666666666,10347.921666666667,9805.602499999999,2023,8,3
89,2023-09-01,5624.1,164.72,1430.0,390.79,1007.69,2712.23,22.69,53.31,11405.53,5417.96,171.27,1238.75,435.5,1129.24,2427.66,23.77,66.54,10910.69,11598.3,10470.4,10170.16,11346.226666666667,10687.703333333333,9850.5825,2023,9,3
90,2023-10-01,6415.44,161.87,1603.0,388.63,971.2,636.12,20.81,39.3,10236.37,5624.1,164.72,1430.0,390.79,1007.69,2712.23,22.69,53.31,11405.53,11529.69,10093.32,9036.28,11281.970000000001,10843.558333333332,9953.53,2023,10,4
91,2023-11-01,5675.12,97.96,1625.43,220.01,774.15,425.7,18.02,44.22,8880.61,6415.44,161.87,1603.0,388.63,971.2,636.12,20.81,39.3,10236.37,10910.69,9523.82,8193.13,10850.863333333333,10867.4,10053.5375,2023,11,4
92,2023-12-01,5400.74,145.69,1487.93,305.69,751.15,749.8,28.04,63.94,8932.98,5675.12,97.96,1625.43,220.01,774.15,425.7,18.02,44.22,8880.61,11405.53,11598.3,8801.87,10174.17,10760.198333333334,10110.8275,2023,12,4
93,2024-01-01,6280.93,169.3,1605.17,276.74,935.73,622.57,23.04,61.93,9975.41,5400.74,145.69,1487.93,305.69,751.15,749.8,28.04,63.94,8932.98,10236.37,11529.69,9007.33,9349.986666666668,10315.978333333333,10121.753333333334,2024,1,1
94,2024-02-01,6679.97,165.07,847.79,241.66,1090.68,777.03,24.03,81.14,9907.37,6280.93,169.3,1605.17,276.74,935.73,622.57,23.04,61.93,9975.41,8880.61,10910.69,8872.0,9263.0,10056.931666666667,10202.426666666666,2024,2,1
95,2024-03-01,7379.34,166.3,907.93,183.9,1242.66,331.01,16.73,89.7,10317.57,6679.97,165.07,847.79,241.66,1090.68,777.03,24.03,81.14,9907.37,8932.98,11405.53,10470.4,9605.253333333334,9889.711666666668,10288.7075,2024,3,1
96,2024-04-01,7175.92,154.48,1214.66,171.01,1291.09,439.28,3.71,65.15,10515.3,7379.34,166.3,907.93,183.9,1242.66,331.01,16.73,89.7,10317.57,9975.41,10236.37,10093.32,10066.783333333333,9708.385,10275.971666666666,2024,4,2
97,2024-05-01,7030.89,152.51,1208.17,103.21,1163.64,1343.56,2.32,38.54,11042.84,7175.92,154.48,1214.66,171.01,1291.09,439.28,3.71,65.15,10515.3,9907.37,8880.61,9523.82,10246.746666666666,9754.873333333333,10311.136666666667,2024,5,2
98,2024-06-01,6045.18,149.32,898.41,171.81,1220.11,2331.19,6.29,28.28,10850.59,7030.89,152.51,1208.17,103.21,1163.64,1343.56,2.32,38.54,11042.84,10317.57,8932.98,11598.3,10625.236666666666,10115.245,10437.721666666666,2024,6,2
99,2024-07-01,5996.84,137.39,1440.93,523.68,1241.93,3787.0,35.38,45.06,13208.21,6045.18,149.32,898.41,171.81,1220.11,2331.19,6.29,28.28,10850.59,10515.3,9975.41,11529.69,10802.909999999998,10434.846666666666,10375.4125,2024,7,3
100,2024-08-01,5896.59,144.55,1676.74,608.53,1365.78,2061.77,38.85,37.69,11830.5,5996.84,137.39,1440.93,523.68,1241.93,3787.0,35.38,45.06,13208.21,11042.84,9907.37,10910.69,11700.546666666667,10973.646666666667,10515.289166666667,2024,8,3
101,2024-09-01,6079.5,131.22,1580.82,609.4,1468.38,3099.7,29.21,35.3,13033.53,5896.59,144.55,1676.74,608.53,1365.78,2061.77,38.85,37.69,11830.5,10850.59,10317.57,11405.53,11963.099999999999,11294.168333333333,10591.94,2024,9,3
102,2024-10-01,6367.91,137.63,1527.49,490.65,1283.71,677.58,26.18,32.38,10543.53,6079.5,131.22,1580.82,609.4,1468.38,3099.7,29.21,35.3,13033.53,13208.21,10515.3,10236.37,12690.746666666668,11746.828333333333,10727.606666666667,2024,10,4
